iter	RMSE
0	6958.15967
1	6741.819202
2	6573.81067
3	6398.295247
4	6243.210372
5	6110.989427
6	5999.449943
7	5889.340191
8	5762.905082
9	5668.945644
10	5583.832339
11	5490.622748
12	5406.999625
13	5316.491322
14	5261.21328
15	5192.889098
16	5133.916861
17	5079.303591
18	5030.553353
19	4973.10149
20	4914.093436
21	4887.05824
22	4863.591184
23	4838.436216
24	4818.514979
25	4804.936348
26	4775.142729
27	4754.676671
28	4713.77424
29	4674.702158
30	4634.470883
31	4596.206349
32	4568.849237
33	4543.385979
34	4508.081213
35	4471.258047
36	4435.248059
37	4427.051218
38	4389.053442
39	4351.966471
40	4322.609295
41	4301.503806
42	4282.721932
43	4267.179444
44	4249.396565
45	4236.35081
46	4217.793126
47	4215.040385
48	4205.59111
49	4201.257696
50	4168.326316
51	4140.699649
52	4127.018028
53	4109.360048
54	4097.692826
55	4091.845359
56	4065.765608
57	4049.991478
58	4014.898032
59	3985.363044
60	3975.943234
61	3947.031661
62	3923.978329
63	3899.663998
64	3877.91723
65	3866.335782
66	3845.659385
67	3840.257158
68	3820.285234
69	3810.777316
70	3809.133008
71	3802.800111
72	3789.188903
73	3783.744344
74	3765.12791
75	3752.406411
76	3725.90437
77	3714.703931
78	3690.79202
79	3673.612537
80	3650.987483
81	3644.718976
82	3637.892848
83	3630.797478
84	3627.945333
85	3612.062738
86	3607.190687
87	3597.530191
88	3592.142424
89	3585.014837
90	3580.200696
91	3579.513786
92	3575.47779
93	3573.246573
94	3563.83792
95	3540.610408
96	3536.657135
97	3534.984445
98	3533.287842
99	3519.197099
100	3506.818287
101	3486.869623
102	3478.860372
103	3466.01348
104	3465.206818
105	3464.006485
106	3451.588867
107	3429.15054
108	3407.221355
109	3404.322107
110	3401.883791
111	3399.424681
112	3391.55888
113	3389.758511
114	3389.09895
115	3370.919508
116	3359.745003
117	3356.727759
118	3350.455102
119	3345.268717
120	3339.01408
121	3329.176526
122	3326.832324
123	3325.191605
124	3315.678762
125	3314.4976
126	3297.406644
127	3276.837029
128	3269.833104
129	3258.477979
130	3257.180168
131	3249.481874
132	3247.87659
133	3246.885505
134	3229.959822
135	3229.09801
136	3227.968095
137	3218.905718
138	3210.121074
139	3209.410188
140	3208.684573
141	3207.57678
142	3206.352911
143	3196.266683
144	3195.237078
145	3192.119871
146	3176.404327
147	3175.847356
148	3175.326696
149	3175.172649
150	3173.816977
151	3173.320594
152	3173.199805
153	3164.104139
154	3156.422682
155	3155.823925
156	3155.443416
157	3155.068235
158	3154.785681
159	3154.339567
160	3140.254791
161	3133.014092
162	3125.950413
163	3125.642377
164	3107.293663
165	3107.107967
166	3106.765979
167	3105.011789
168	3104.471305
169	3104.372167
170	3101.818487
171	3101.219626
172	3100.654453
173	3085.857023
174	3071.639718
175	3071.324395
176	3065.128626
177	3059.007481
178	3045.96882
179	3045.855633
180	3040.138503
181	3040.046901
182	3039.933155
183	3039.475931
184	3038.964199
185	3038.758433
186	3038.228147
187	3027.063207
188	3015.330799
189	3003.305194
190	3001.878752
191	3001.745587
192	2990.912768
193	2990.446331
194	2989.925176
195	2977.798355
196	2977.726576
197	2967.422868
198	2967.334908
199	2967.197422
200	2962.464837
201	2962.352968
202	2962.14032
203	2962.067815
204	2961.988543
205	2959.145318
206	2957.158316
207	2953.727597
208	2949.113646
209	2946.165394
210	2945.735652
211	2945.595414
212	2945.484649
213	2934.610302
214	2934.408425
215	2934.308707
216	2923.619062
217	2923.591558
218	2923.410099
219	2923.339445
220	2913.459072
221	2910.289601
222	2906.385417
223	2896.541757
224	2896.521713
225	2896.009026
226	2895.881905
227	2895.40779
228	2893.709423
229	2893.59392
230	2891.368186
231	2891.23784
232	2881.363651
233	2872.285727
234	2872.156929
235	2871.990468
236	2871.521981
237	2871.458103
238	2871.118915
239	2867.705575
240	2867.685687
241	2867.515652
242	2867.401692
243	2867.216497
