iter	Passed	Remaining
0	172	32986
1	356	33895
2	538	33933
3	711	33422
4	893	33419
5	1026	31826
6	1212	32047
7	1395	32098
8	1575	32026
9	1647	29993
10	1769	29115
11	1953	29298
12	2138	29450
13	2323	29546
14	2508	29601
15	2691	29606
16	2863	29474
17	3044	29427
18	3226	29374
19	3403	29273
20	3586	29201
21	3767	29114
22	3890	28584
23	4065	28457
24	4243	28346
25	4424	28249
26	4595	28083
27	4762	27896
28	4929	27708
29	5092	27500
30	5131	26653
31	5297	26488
32	5340	25733
33	5506	25590
34	5681	25484
35	5849	25349
36	6017	25207
37	6185	25069
38	6213	24376
39	6376	24229
40	6542	24095
41	6710	23964
42	6734	23336
43	6900	23209
44	6927	22628
45	7092	22510
46	7266	22417
47	7444	22332
48	7474	21814
49	7645	21712
50	7670	21207
51	7842	21113
52	7887	20686
53	7906	20206
54	8074	20112
55	8097	19664
56	8261	19566
57	8427	19470
58	8596	19377
59	8615	18954
60	8637	18548
61	8804	18461
62	8923	18272
63	8939	17878
64	8954	17496
65	9123	17416
66	9144	17059
67	9162	16707
68	9334	16638
69	9503	16562
70	9672	16484
71	9793	16322
72	9815	16000
73	9843	15696
74	9859	15381
75	9874	15070
76	9886	14765
77	9898	14466
78	10070	14404
79	10106	14149
80	10284	14093
81	10452	14021
82	10624	13952
83	10810	13899
84	10827	13629
85	10998	13555
86	11014	13293
87	11182	13215
88	11201	12963
89	11215	12710
90	11254	12491
91	11432	12427
92	11458	12197
93	11471	11959
94	11640	11885
95	11687	11687
96	11859	11614
97	12046	11555
98	12230	11489
99	12401	11409
100	12416	11187
101	12429	10967
102	12597	10885
103	12614	10673
104	12631	10466
105	12659	10271
106	12674	10068
107	12844	9990
108	12864	9795
109	12880	9602
110	13049	9522
111	13220	9442
112	13242	9257
113	13257	9070
114	13271	8885
115	13436	8802
116	13450	8622
117	13616	8539
118	13628	8360
119	13641	8184
120	13653	8011
121	13669	7842
122	13681	7675
123	13845	7592
124	13862	7430
125	13876	7268
126	13890	7109
127	13900	6950
128	13913	6795
129	13929	6643
130	13943	6492
131	13958	6344
132	13972	6198
133	14147	6123
134	14171	5983
135	14342	5905
136	14510	5825
137	14675	5742
138	14846	5661
139	15017	5577
140	15188	5493
141	15360	5408
142	15538	5324
143	15711	5237
144	15879	5147
145	16046	5055
146	16215	4964
147	16403	4876
148	16586	4786
149	16767	4695
150	16949	4602
151	17134	4509
152	17309	4412
153	17489	4315
154	17662	4216
155	17845	4118
156	18028	4019
157	18213	3919
158	18389	3816
159	18568	3713
160	18584	3578
161	18598	3444
162	18610	3311
163	18786	3207
164	18969	3104
165	19152	2999
166	19175	2870
167	19350	2764
168	19368	2635
169	19544	2529
170	19570	2403
171	19744	2295
172	19766	2170
173	19946	2063
174	20131	1955
175	20312	1846
176	20332	1723
177	20347	1600
178	20359	1478
179	20533	1368
180	20553	1249
181	20731	1139
182	20754	1020
183	20769	903
184	20941	792
185	21125	681
186	21311	569
187	21492	457
188	21679	344
189	21870	230
190	22057	115
191	22241	0
